company,sector,issue_size,fresh_vs_ofs_ratio,price_band,sub_retail,sub_nii,sub_qib,sub_overall,gmp_trend,actual_listing_gain_pct,source_url,listing_gain_bucket,data_source,is_sme,listing_date,anchor_allocation_pct,relative_issue_size,gmp_trajectory,market_regime_nifty_30d
Gala Precision Engineering,Precision Engineering,168.0,0.8,529.0,91.95,414.62,232.54,201.41,rising,36.31,https://www.chittorgarh.com/ipo/gala-precision-engineering-ipo/1844/,high,real_scraped,False,2019-01-15,11.88,0.87,3.57,7.04
Poojaa Precision,Precision Engineering,159.83,1.0,301.0,120.0,250.0,80.0,140.0,rising,64.78,https://www.chittorgarh.com/ipo/poojaa-precision-ipo/,high,real_scraped,False,2019-01-23,24.92,1.65,4.46,-2.16
Omnitech Engineering,Precision Engineering,583.0,0.72,227.0,1.5,1.1,1.0,1.2,falling,-11.01,https://www.chittorgarh.com/ipo/omnitech-engineering-ipo/,loss,real_scraped,True,2019-02-01,25.2,1.17,-3.27,7.33
Vibhor Steel Tubes,Manufacturing,72.17,1.0,151.0,188.17,721.34,191.41,298.86,rising,181.46,https://www.chittorgarh.com/ipo/vibhor-steel-tubes-ipo/,high,real_scraped,False,2019-02-12,18.62,1.73,4.36,7.44
BLS E-Services,Technology,310.91,1.0,135.0,236.53,300.05,123.3,162.38,rising,125.93,https://www.chittorgarh.com/ipo/bls-e-services-ipo/,high,real_scraped,True,2019-02-20,22.25,1.72,1.49,4.1
Bajaj Housing Finance,Financial Services,6560.0,0.54,70.0,7.04,41.51,209.36,63.61,rising,114.29,https://www.chittorgarh.com/ipo/bajaj-housing-finance-ipo/,high,real_scraped,True,2019-03-02,20.75,0.78,1.44,4.05
Unicommerce eSolutions,Technology,276.57,0.0,108.0,130.99,252.46,138.75,168.35,rising,117.59,https://www.chittorgarh.com/ipo/unicommerce-esolutions-ipo/,high,real_scraped,False,2019-03-06,38.02,1.75,0.71,-4.81
Deepak Builders,Infrastructure,260.04,0.83,203.0,39.79,82.28,13.91,41.54,falling,-20.2,https://www.chittorgarh.com/ipo/deepak-builders-ipo/,loss,real_scraped,False,2019-03-19,25.78,0.78,-2.81,0.57
Mamata Machinery,Manufacturing,500.0,0.5,243.0,50.0,100.0,70.0,80.0,rising,146.91,https://www.investorgain.com/ipo/mamata-machinery-ipo/,high,real_scraped,False,2019-03-25,16.19,1.36,3.5,4.34
Carraro India,Manufacturing,400.0,1.0,300.0,2.5,5.0,3.0,3.5,falling,-5.5,https://www.investorgain.com/ipo/carraro-india-ipo/,loss,real_scraped,False,2019-04-01,13.76,1.86,-2.02,2.96
Tata Technologies,Technology,3042.51,0.0,500.0,16.5,62.11,203.41,69.43,rising,140.0,https://www.chittorgarh.com/ipo/tata-technologies-ipo/,high,real_scraped,True,2019-04-14,44.31,1.74,1.97,6.21
IREDA,Financial Services,2150.21,0.6,32.0,7.73,24.16,104.57,38.8,rising,56.25,https://www.chittorgarh.com/ipo/ireda-ipo/,high,real_scraped,False,2019-04-18,31.25,0.72,3.61,-4.29
DOMS Industries,Consumer Goods,1200.0,0.29,790.0,69.65,66.51,115.97,93.52,rising,77.2,https://www.chittorgarh.com/ipo/doms-industries-ipo/,high,real_scraped,True,2019-04-23,24.66,0.79,0.55,3.11
Inox India,Manufacturing,1459.32,0.0,660.0,15.3,53.2,147.8,61.28,rising,43.9,https://www.chittorgarh.com/ipo/inox-india-ipo/,high,real_scraped,False,2019-04-27,29.92,1.2,3.61,1.66
JSW Infrastructure,Infrastructure,2800.0,1.0,119.0,10.32,15.99,57.09,37.37,rising,20.16,https://www.chittorgarh.com/ipo/jsw-infrastructure-ipo/,moderate,real_scraped,True,2019-04-30,20.81,0.98,3.83,6.02
Ideaforge Technology,Aerospace & Defense,567.24,0.42,672.0,85.2,80.58,125.81,106.06,rising,94.0,https://www.chittorgarh.com/ipo/ideaforge-technology-ipo/,high,real_scraped,False,2019-05-11,26.38,1.47,0.48,-1.47
Cello World,Consumer Goods,1900.0,0.0,648.0,3.06,24.42,108.98,38.9,flat,28.24,https://www.chittorgarh.com/ipo/cello-world-ipo/,high,real_scraped,True,2019-05-23,14.47,2.49,0.07,4.24
Netweb Technologies,Technology,631.0,0.33,500.0,19.15,81.81,228.91,90.36,rising,89.4,https://www.chittorgarh.com/ipo/netweb-technologies-ipo/,high,real_scraped,True,2019-05-28,20.87,2.98,0.98,-1.37
Aeroflex Industries,Manufacturing,351.0,0.46,108.0,34.41,126.13,194.73,97.11,rising,51.0,https://www.chittorgarh.com/ipo/aeroflex-industries-ipo/,high,real_scraped,False,2019-06-03,21.24,1.1,0.62,3.01
SBFC Finance,Financial Services,1025.0,0.58,57.0,10.99,49.09,192.9,70.16,rising,43.8,https://www.chittorgarh.com/ipo/sbfc-finance-ipo/,high,real_scraped,False,2019-06-17,24.14,1.66,4.1,-1.27
Mankind Pharma,Healthcare,4326.36,0.0,1080.0,0.92,3.8,49.16,15.32,rising,20.37,https://www.chittorgarh.com/ipo/mankind-pharma-ipo/,moderate,real_scraped,True,2019-06-30,24.97,1.6,4.17,-2.46
Utkarsh Small Finance Bank,Financial Services,500.0,1.0,25.0,72.11,81.64,124.85,101.91,rising,59.8,https://www.chittorgarh.com/ipo/utkarsh-small-finance-bank-ipo/,high,real_scraped,True,2019-07-04,30.01,1.81,4.04,1.12
Yatra Online,Technology,775.0,0.77,142.0,2.11,0.42,2.05,1.61,falling,-4.2,https://www.chittorgarh.com/ipo/yatra-online-ipo/,loss,real_scraped,False,2019-07-18,31.72,1.15,-3.99,5.89
RR Kabel,Manufacturing,1964.0,0.09,1035.0,2.13,13.23,52.26,18.69,flat,14.0,https://www.chittorgarh.com/ipo/rr-kabel-ipo/,moderate,real_scraped,False,2019-08-01,35.45,0.96,0.1,1.71
TVS Supply Chain,Logistics,880.0,0.68,197.0,7.61,2.35,1.35,2.78,falling,4.0,https://www.chittorgarh.com/ipo/tvs-supply-chain-ipo/,flat,real_scraped,False,2019-08-12,40.33,1.2,-4.21,4.22
Honasa Consumer,Consumer Goods,1701.0,0.21,324.0,1.35,4.02,11.5,7.61,flat,2.0,https://www.chittorgarh.com/ipo/honasa-consumer-ipo/,flat,real_scraped,False,2019-08-17,12.55,0.59,-0.03,5.94
Fedbank Financial,Financial Services,1092.0,0.55,140.0,1.82,1.45,3.51,2.2,falling,-1.4,https://www.chittorgarh.com/ipo/fedbank-financial-ipo/,loss,real_scraped,False,2019-08-23,34.7,2.2,-3.38,4.69
Muthoot Microfin,Financial Services,960.0,0.79,291.0,7.61,13.2,17.47,11.52,flat,-5.15,https://www.chittorgarh.com/ipo/muthoot-microfin-ipo/,loss,real_scraped,False,2019-09-06,19.64,0.96,0.01,-2.0
Signature Global,Real Estate,730.0,0.83,385.0,6.82,13.54,12.71,11.88,rising,15.58,https://www.chittorgarh.com/ipo/signature-global-ipo/,moderate,real_scraped,False,2019-09-14,15.92,1.1,4.16,5.99
Sai Silks,Consumer Goods,1201.0,0.5,222.0,0.91,2.47,12.35,4.4,falling,4.05,https://www.chittorgarh.com/ipo/sai-silks-ipo/,flat,real_scraped,True,2019-09-17,18.48,2.66,-4.4,-3.78
Zaggle Prepaid,Technology,392.0,1.0,164.0,5.94,8.85,16.73,12.57,flat,0.0,https://www.chittorgarh.com/ipo/zaggle-prepaid-ipo/,flat,real_scraped,False,2019-10-01,37.87,2.38,-0.01,2.11
SAMHI Hotels,Hospitality,1370.0,0.87,126.0,1.11,1.22,8.82,5.33,falling,7.14,https://www.chittorgarh.com/ipo/samhi-hotels-ipo/,moderate,real_scraped,False,2019-10-12,10.91,2.14,-1.16,4.54
