,Date,IPO_Name,Issue Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Total_Subscription,Issue Price,Listing Open,Listing Close,Listing Gain Percent
278,2019-02-07,Chalet Hotels Ltd.,1641.2,4.7,1.1,0.03,1.6,280,291,290.4,3.7
323,2017-06-06,IndiGrid InvIT,2250,1.14,1.6,0,1.35,100,99.7,95.08,-4.92
482,2010-02-24,DB Realty,1500,1.35,1.21,0.01,0.85,468,452.1,455.4,-2.69
384,2012-12-28,INDUS TOWERS,4533.6,2.84,0.1,0.06,1.21,220,200,191.2,-13.09
439,2010-10-27,Prestige Estate,1200,4.32,0.24,0.08,2.26,183,190,192.55,5.22
154,2022-11-21,Five Star Business Finance Ltd.,1960,1.8,0.6,0.1,0.7,474,468.8,490,3.4
270,2019-08-19,Spandana Sphoorty Financial Ltd.,1200.9,3.1,0.6,0.1,1.1,856,825,847.8,-1
356,2016-01-06,Narayana Hruda,613,0.01,0.01,0.13,0.07,250,291,336.7,34.68
468,2010-05-13,NEL HOLDINGS SO,405,2.54,0.22,0.16,1.16,54,50,50.95,-5.65
449,2010-10-08,Orient Green,900,2.09,0.64,0.18,1.07,47,45.7,44.9,-4.47
142,2023-01-04,Radiant Cash Management Services Ltd.,387.9,0.9,0.4,0.2,0.5,99,103,104.9,6
253,2020-11-20,Gland Pharma Ltd.,6479.6,6.4,0.5,0.2,2.1,1500,1710,1820.5,21.4
280,2018-10-08,AAVAS Financier,1729.2,2.77,0.26,0.25,0.97,821,758,773.15,-5.83
370,2015-05-26,PNC Infratech,488,4.51,0.65,0.28,1.56,378,381,72.04,-80.94
481,2010-02-25,Hathway Cable,735.4,1.43,4.29,0.28,1.36,240,246,41.56,-82.68
403,2011-09-16,SRS,227.5,0.74,5,0.29,1.22,58,55,16.83,-70.98
269,2019-08-20,Sterling and Wilson Renewable Energy Ltd.,2880.9,1,0.9,0.3,0.8,780,700,725.4,-7
431,2010-12-23,A2Z Infra Eng,675,0.7,4.25,0.33,0.96,400,390,328.9,-17.78
362,2015-09-21,Prabhat Dairy,300,0.88,1.42,0.34,0.77,115,113,116.35,1.17
404,2011-09-08,TD Power System,227,6.52,0.32,0.36,2.72,256,251.6,274.8,7.34
