=== Sector x Year Distribution (real_scraped) ===
year                   2018  2019  2020  2021  2022  2023
sector                                                   
Aerospace & Defense       1     0     0     0     0     0
Consumer Goods            0     1     1     1     2     0
Financial Services        1     2     1     5     1     0
Healthcare                1     0     1     1     2     0
Hospitality               0     1     0     0     0     0
Infrastructure            0     2     1     2     2     0
Logistics                 0     1     0     0     0     0
Manufacturing             2     2     5     1     1     0
Other                     5    15     9    18    14     3
Precision Engineering     0     0     0     1     1     1
Real Estate               0     0     1     0     0     0
Technology                1     3     3     0     4     0
